record_type,facet,component,source_id,source_title_or_spec,source_kind,screening_status,current_evidence_level,supported_claim_or_status,limitations,argo_connection,missing_full_read_or_experiment,contribution_tag,tag_status,local_basis,note
facet_evidence,agent-user,,alphaxiv:2606.13662,EurekAgent,paper,recorded_full_read,FULL_PAPER_READ,"EurekAgent frames permissions, artifacts, budgets, and human supervision as environment engineering.","Structured report retained at `paper/sources/reports/2606.13662.txt` (22317 bytes; SHA-256 `6f3c84e701b968353f92645d9611829fa78d4ca26ebec907389fb64579717a44`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2606.13662.tar.gz` (6593120 bytes; SHA-256 `9172c8ec9509d3281c05c3c31eaa2ee35ac19439e3b61d4ae7f5f0a5e5fb6392`), with extracted TeX under `paper/sources/tex/2606.13662` and member manifest `paper/sources/tex/2606.13662/_archive_members.json` (SHA-256 `f4c68ee1c4dd538397ac66664e06ae2fb029dec6901a4919c175925cbbca664e`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. Environment engineering alone does not supply ARGO scientific-admission or scope logic.",Supports the design premise that human supervision belongs in the operating environment and authority boundary.,"Restore read receipt; specify interruption/resume, uncertainty/progress, abstention, and approval semantics; compare interaction burden and correction latency.",,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2606.13662.txt (22317 bytes; SHA-256 6f3c84e701b968353f92645d9611829fa78d4ca26ebec907389fb64579717a44); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2606.13662.tar.gz (6593120 bytes; SHA-256 9172c8ec9509d3281c05c3c31eaa2ee35ac19439e3b61d4ae7f5f0a5e5fb6392); paper/sources/tex/2606.13662/_archive_members.json (SHA-256 f4c68ee1c4dd538397ac66664e06ae2fb029dec6901a4919c175925cbbca664e); extracted TeX: paper/sources/tex/2606.13662; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 6353eea970f5f5d25f6c015ba8dac4426aac6c4ac1ee624f0e3a713265e362c5; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,agent-user,,openalex:10.48550/arxiv.2412.10380,Challenges in Human-Agent Communication,paper candidate,full_read_candidate,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.","Top full-read candidate for transparency, control, and bidirectional communication failure modes.",Complete focused full read and retained receipt; turn the communication challenges into measurable ARGO interaction tasks and user studies.,,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,agent-user,,alphaxiv:2608.14093,AppLooper: An Agentic Application Engineering Loop for Accountable Release with Virtual-User Feedback,paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.","Discovery candidate for frozen owner intent, inspection, feedback, abstention, and final release authority.","Screen/full-read; separate virtual-user evidence from real-user authority; test awareness, intervention cost, requirement drift, and release non-bypass.",,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,agent-agent,,alphaxiv:2608.23552,Prime Agent: A Self-Improving RLM Harness,paper,full_read,FULL_PAPER_READ,"Prime Agent defines the inherited information hierarchy, persistent IPython computation, recursive sessions, daemon continuity, Continual Harness, and long-horizon evaluation substrate.","Structured report retained at `paper/sources/reports/2608.23552.txt` (19150 bytes; SHA-256 `c52ab568da5f1e536e075612097ed3af4b14aec481e2cd7bd90b0b27374bfe93`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2608.23552.tar.gz` (352183 bytes; SHA-256 `d938eb6ba4a9402e8e0bedaa0bd844f8f9813e8c1804762c07037a63629da32f`), with extracted TeX under `paper/sources/tex/2608.23552` and member manifest `paper/sources/tex/2608.23552/_archive_members.json` (SHA-256 `9fe6b3b61d384653e1ff7f0ed82af7e7eae0b6a4e4a905bbbc5133d25db315ec`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. Architecture efficacy outside the reported tasks is not established.",Ancestry for recursive child sessions and direct daemon-mediated agent messaging.,"Restore source receipt; measure delivery identity, stale result handling, isolation, failure recovery, and usefulness under matched tasks.",,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2608.23552.txt (19150 bytes; SHA-256 c52ab568da5f1e536e075612097ed3af4b14aec481e2cd7bd90b0b27374bfe93); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2608.23552.tar.gz (352183 bytes; SHA-256 d938eb6ba4a9402e8e0bedaa0bd844f8f9813e8c1804762c07037a63629da32f); paper/sources/tex/2608.23552/_archive_members.json (SHA-256 9fe6b3b61d384653e1ff7f0ed82af7e7eae0b6a4e4a905bbbc5133d25db315ec); extracted TeX: paper/sources/tex/2608.23552; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 6353eea970f5f5d25f6c015ba8dac4426aac6c4ac1ee624f0e3a713265e362c5; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,agent-agent,,alphaxiv:2502.18864,Accelerating scientific discovery with Co-Scientist,paper,recorded_full_read,FULL_PAPER_READ,"The system uses specialized generation, reflection, ranking, proximity, evolution, and meta-review agents to compete hypotheses.","Structured report retained at `paper/sources/reports/2502.18864.txt` (19875 bytes; SHA-256 `ea9925730d70d4628d7881c35ee2890b4eb327f3ae5715573e63b6fd87f0ded9`). arXiv returned no source TeX for this record; the retained fallback is PDF `paper/sources/arxiv/2502.18864.pdf` (5885207 bytes; SHA-256 `e603a77c9d2bdfb528313e4cf35405b72261e018a70da724fcebca94c96e4716`), with extracted text `paper/sources/tex/2502.18864/paper.txt` (SHA-256 `8fddd1b50f4adebf97bec0493fb0edf7b82886883cb86c2adede4caa505629bb`). Source TeX remains unavailable. The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. ARGO has not yet run a matched evaluation of its proposed design-competition variant.",Prior work for specialized agent roles and multi-agent hypothesis competition.,"Restore source receipt; preregister a stock/specialized-role comparison; ablate roles and communication; measure diversity, error correlation, and cost.",,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2502.18864.txt (19875 bytes; SHA-256 ea9925730d70d4628d7881c35ee2890b4eb327f3ae5715573e63b6fd87f0ded9); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2502.18864.pdf (5885207 bytes; SHA-256 e603a77c9d2bdfb528313e4cf35405b72261e018a70da724fcebca94c96e4716); paper/sources/tex/2502.18864/paper.txt (SHA-256 8fddd1b50f4adebf97bec0493fb0edf7b82886883cb86c2adede4caa505629bb); source TeX unavailable; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 6353eea970f5f5d25f6c015ba8dac4426aac6c4ac1ee624f0e3a713265e362c5; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,agent-agent,,alphaxiv:2409.05556,SciAgents,paper,recorded_full_read,FULL_PAPER_READ,SciAgents grounds multi-agent hypothesis generation in a literature-derived knowledge graph.,"Structured report retained at `paper/sources/reports/2409.05556.txt` (16658 bytes; SHA-256 `1caee5204ce0ea96086d55a24b717c06c9bda571a73cda43224adcb9df08f513`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2409.05556.tar.gz` (43456489 bytes; SHA-256 `5bcf3866316250cd4a27772496848874f82ff1cc3319f21aec92d2bcc9e24a1a`), with extracted TeX under `paper/sources/tex/2409.05556` and member manifest `paper/sources/tex/2409.05556/_archive_members.json` (SHA-256 `914dc3f30efc9dc3c3b2198866a2c7337c81c3d35436b33e06440a535ed707b5`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. The source does not establish an operational experiment/protocol/evidence graph or ARGO efficacy.",Prior work for multi-agent hypothesis generation grounded in literature structure.,Restore source receipt; keep literature graph separate from run/evidence authority; test whether graph grounding reduces unsupported or duplicate proposals.,,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2409.05556.txt (16658 bytes; SHA-256 1caee5204ce0ea96086d55a24b717c06c9bda571a73cda43224adcb9df08f513); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2409.05556.tar.gz (43456489 bytes; SHA-256 5bcf3866316250cd4a27772496848874f82ff1cc3319f21aec92d2bcc9e24a1a); paper/sources/tex/2409.05556/_archive_members.json (SHA-256 914dc3f30efc9dc3c3b2198866a2c7337c81c3d35436b33e06440a535ed707b5); extracted TeX: paper/sources/tex/2409.05556; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 6353eea970f5f5d25f6c015ba8dac4426aac6c4ac1ee624f0e3a713265e362c5; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,agent-agent,,openalex:10.48550/arxiv.2411.04468,Magentic-One: A Generalist Multi-Agent System for Solving Complex Tasks,paper candidate,full_read_candidate,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.",Full-read candidate for orchestrator plus specialized-agent topology and replanning.,"Focused full read; compare supervisor topology with recursive sessions on identical tasks, including recovery and communication overhead.",,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,agent-agent,,openalex:10.48550/arxiv.2502.14321,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.","Discovery candidate for communication architecture, strategies, objects, security, efficiency, and scalability.",Screen/full-read; derive protocol-level failure fixtures and measurable communication-cost/robustness metrics.,,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,approval loops,,alphaxiv:2606.13662,EurekAgent,paper,recorded_full_read,FULL_PAPER_READ,"EurekAgent frames permissions, artifacts, budgets, and human supervision as environment engineering.","Structured report retained at `paper/sources/reports/2606.13662.txt` (22317 bytes; SHA-256 `6f3c84e701b968353f92645d9611829fa78d4ca26ebec907389fb64579717a44`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2606.13662.tar.gz` (6593120 bytes; SHA-256 `9172c8ec9509d3281c05c3c31eaa2ee35ac19439e3b61d4ae7f5f0a5e5fb6392`), with extracted TeX under `paper/sources/tex/2606.13662` and member manifest `paper/sources/tex/2606.13662/_archive_members.json` (SHA-256 `f4c68ee1c4dd538397ac66664e06ae2fb029dec6901a4919c175925cbbca664e`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. Environment engineering alone does not supply ARGO scientific-admission or scope logic.","Prior-work basis for permissions, budgets, artifacts, and human supervision as environment constraints.","Restore receipt; define risk tiers and non-bypass tests; measure false approvals, missed escalations, delay, and user burden.",,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2606.13662.txt (22317 bytes; SHA-256 6f3c84e701b968353f92645d9611829fa78d4ca26ebec907389fb64579717a44); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2606.13662.tar.gz (6593120 bytes; SHA-256 9172c8ec9509d3281c05c3c31eaa2ee35ac19439e3b61d4ae7f5f0a5e5fb6392); paper/sources/tex/2606.13662/_archive_members.json (SHA-256 f4c68ee1c4dd538397ac66664e06ae2fb029dec6901a4919c175925cbbca664e); extracted TeX: paper/sources/tex/2606.13662; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 6353eea970f5f5d25f6c015ba8dac4426aac6c4ac1ee624f0e3a713265e362c5; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
facet_evidence,approval loops,,local:argo-decision-contract,ARGO autonomous research-decision contract,internal design spec,local_design_contract,PRIMARY_SPEC_OR_CODE,"The current design requires explicit authority, legality, identifiability, evidence, mechanism-distinct competition, comparability, information value, independent attack, preregistration, and scoped assimilation.","This is a design contract, not an implemented native gate and not independent evidence that the design improves outcomes.","Current ARGO design freezes human authority for external transmission, spending, risky tools, submissions, and final conclusions, with preregistration and independent attack.",Implement as host-owned typed policy; add adversarial bypass/TOCTOU/resume tests; run matched human-intervention and safety evaluation.,,,docs/argo/research-decision-contract.md (SHA-256 07be81241e30682d913c5e3a34ba5fbf34478f51418127212b2d4d977edf94de),
facet_evidence,approval loops,,alphaxiv:2604.23049,A Decoupled Human-in-the-Loop System for Controlled Autonomy in Agentic Workflows,paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.",Discovery candidate for a decoupled HITL component and explicit intervention/role/semantics/channel dimensions.,"Screen/full-read; compare protocol-level versus embedded approval; test identity, timeout, cancellation, resume, and multi-agent race cases.",,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,approval loops,,alphaxiv:2605.19151,Progressive Autonomy as Preference Learning: A Formalization of Trust Calibration for Agentic Tool Use,paper candidate,unscreened,DISCOVERY_ONLY,No paper claim is supported. The locally retrieved title/abstract only makes this a candidate for the mapped facet.,"Discovery metadata is not a full read and cannot support detailed method, result, or design-selection claims.",Discovery candidate for uncertainty-targeted escalation and progressive autonomy.,"Screen/full-read; preregister acceptable risk/cognitive-load metrics; do not learn approval policy online without consent, isolation, rollback, and held-out validation.",,,.argo-research/literature/harness-foundations-2026-09-02/corpus-index.json,
facet_evidence,evaluators,,alphaxiv:2408.06292,The AI Scientist,paper,recorded_full_read,FULL_PAPER_READ,"The system covers idea generation, experimentation, writing, and review automation; the local read summary reports subtle code errors, positive bias, incomplete controls, and execution risks.","Structured report retained at `paper/sources/reports/2408.06292.txt` (23705 bytes; SHA-256 `8c3c440725ec913d6c4bf6fee36fe8b7700327d3993f9f1b729dde3304d03ddf`). Raw arXiv TeX source is retained at `paper/sources/arxiv/2408.06292.tar.gz` (11378199 bytes; SHA-256 `4ddccff8b6e49dec4c7bb219d4330f1faf47255b5b1b33d01f207eae23e119e9`), with extracted TeX under `paper/sources/tex/2408.06292` and member manifest `paper/sources/tex/2408.06292/_archive_members.json` (SHA-256 `cb9ec2246eacc624cd0a5579a2b5eb54e8ea92dc73aa3b7db47a5d151eaff9ec`). The scoped current-claim locator(s) pass byte, excerpt, and semantic review; broader claims require new locators. It is prior-work evidence, not evidence that ARGO fixes the reported failures.","Negative prior-work motivation: automated research/review can still contain code errors, bias, incomplete controls, and execution risks.",Restore receipt; build falsifying tasks that distinguish self-review from independent environment/process/human verification.,,,paper/sources/report-receipts.json (SHA-256 c1ad0d25ab8fb9376b587f14a9ae9178d161cd6c98cb1964e0f0732a43852702); paper/sources/reports/2408.06292.txt (23705 bytes; SHA-256 8c3c440725ec913d6c4bf6fee36fe8b7700327d3993f9f1b729dde3304d03ddf); paper/sources/arxiv-source-receipts.json (SHA-256 b834a623e29036dbe96ff7eee860d8efdb9976db7947ab6f4c3a054f3142f42b); paper/sources/arxiv/2408.06292.tar.gz (11378199 bytes; SHA-256 4ddccff8b6e49dec4c7bb219d4330f1faf47255b5b1b33d01f207eae23e119e9); paper/sources/tex/2408.06292/_archive_members.json (SHA-256 cb9ec2246eacc624cd0a5579a2b5eb54e8ea92dc73aa3b7db47a5d151eaff9ec); extracted TeX: paper/sources/tex/2408.06292; docs/argo/migration-state.json; docs/argo/research-foundations.md; paper/sources/claim-locators.json SHA-256 6353eea970f5f5d25f6c015ba8dac4426aac6c4ac1ee624f0e3a713265e362c5; paper/sources/arxiv-metadata-receipt.json SHA-256 923412f29b30d810527d047b98094d8ffc020a789723f312821b9b09bca3951a,
